sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos001	35.909694014091677	-75.59583125542305	-31.889573746360838	0.60099995136260986	0.8190000057220459	RTK float	6319
ScanPos002	35.90965508128069	-75.595705276647394	-32.08000083360821	0.014099999330937862	0.018500000238418579	RTK fixed	6319
ScanPos003	35.909397111626603	-75.595654055953872	-32.154111846350133	0.014099999330937862	0.018500000238418579	RTK fixed	6319
ScanPos004	35.90915145630381	-75.595522487215121	-32.461905834265053	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos005	35.908941427068498	-75.595398452694056	-32.620860489085317	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos006	35.908796660352785	-75.595317912163807	-32.781428830698133	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos007	35.908554182524057	-75.595171262124524	-32.617515362799168	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos008	35.908408058796475	-75.595066762580998	-32.720118486322463	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos009	35.908206597460683	-75.594957059465472	-32.526677386835217	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos010	35.908019739851007	-75.594866930361363	-32.475976499728858	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos011	35.907749045056491	-75.59469882843932	-32.481846467591822	0.014099999330937862	0.015899999067187309	RTK fixed	6319
ScanPos012	35.907542464352602	-75.594567422365955	-32.400953339412808	0.014099999330937862	0.015899999067187309	RTK fixed	6319
ScanPos013	35.907246698819769	-75.594418713197285	-32.571792896836996	0.014099999330937862	0.015899999067187309	RTK fixed	6319
ScanPos014	35.907072515608505	-75.594285997417089	-32.849990229122341	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos015	35.906846842794124	-75.594187064560302	-32.911423090845346	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos016	35.906560020645941	-75.594073609242258	-33.097905915230513	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos017	35.906255225853513	-75.593908131055059	-32.481242770329118	0.014099999330937862	0.015999998897314072	RTK fixed	6319
ScanPos018	35.906055366942446	-75.593790760181761	-32.227556956000626	0.014099999330937862	0.014299999922513962	RTK fixed	6319
ScanPos019	35.905830382167224	-75.593640659702515	-32.522386359982193	0.014099999330937862	0.013599999248981476	RTK fixed	6319
ScanPos020	35.905586817144787	-75.59353581592417	-32.603268593549728	0.014099999330937862	0.013499999418854713	RTK fixed	6319
ScanPos021	35.905352405974782	-75.593451886810854	-32.31866617873311	0.014099999330937862	0.013499999418854713	RTK fixed	6319
ScanPos022	35.905137841401313	-75.593336701701034	-32.519504211843014	0.014099999330937862	0.013499999418854713	RTK fixed	6319
ScanPos023	35.904922521527936	-75.593228104542121	-32.375522364862263	0.014099999330937862	0.013399999588727951	RTK fixed	6319
ScanPos024	35.904640701664995	-75.593077322703621	-32.401985939592123	0.014099999330937862	0.013399999588727951	RTK fixed	6319
ScanPos025	35.904422077914603	-75.592968640622075	-32.588085761293769	0.014099999330937862	0.013399999588727951	RTK fixed	6319
ScanPos026	35.904241241565174	-75.592873684466099	-32.470828545279801	0.014099999330937862	0.013100000098347664	RTK fixed	6319
ScanPos027	35.904025690187638	-75.592771277864713	-32.608956123702228	0.014099999330937862	0.013100000098347664	RTK fixed	6319
ScanPos028	35.903788466849143	-75.592681516935144	-32.320518009364605	0.014099999330937862	0.012999999336898327	RTK fixed	6319
ScanPos029	35.903488014958704	-75.592510744449896	-32.296555923298001	0.014099999330937862	0.012999999336898327	RTK fixed	6319
ScanPos030	35.903325998955182	-75.592438203653032	-32.343921390362084	0.014099999330937862	0.012899999506771564	RTK fixed	6319
ScanPos031	35.903096226662129	-75.592312161987607	-32.223891833797097	0.014099999330937862	0.012799999676644802	RTK fixed	6319
ScanPos032	35.902805554184013	-75.592150094937026	-32.390627040527761	0.014099999330937862	0.01269999984651804	RTK fixed	6319
